date, pm25, pm10, o3, no2, so2, co
2024/6/10, 27, 13, 14, 1, , 1
2024/6/11, 25, 22, 17, 1, , 1
2024/6/12, 47, 23, 16, 4, 1, 1
2024/6/13, 49, 19, 16, 1, , 1
2024/6/14, 42, 17, 13, , , 
2024/6/15, 39, 11, 10, 1, , 
2024/6/16, 24, 13, 9, , , 
2024/6/17, 30, 12, , 3, 1, 1
2024/6/18, 25, 12, , 2, 1, 1
2024/6/19, 25, 10, , 1, 1, 
2024/6/20, 22, 15, , 1, 1, 1
2024/6/21, 37, 19, , 1, 1, 1
2024/6/22, 54, 15, , 1, 1, 
2024/6/23, 46, 12, , 2, 1, 1
2024/6/24, 23, 12, , 1, 2, 2
2024/6/25, 26, 13, , 1, 1, 1
2024/6/26, 36, 14, , 2, 1, 1
2024/6/27, 22, 15, 10, 1, 2, 1
2024/6/28, 22, 13, 13, 1, 1, 1
2024/6/29, 23, 15, 6, , 1, 1
2024/6/30, 26, 19, , , 1, 1
2024/1/1, 130, 50, 32, 6, 1, 4
2024/1/2, 109, 42, 33, 10, 1, 6
2024/1/3, 96, 40, 37, 6, 1, 4
2024/1/4, 75, 54, 40, 13, 1, 5
2024/1/5, 113, 50, 46, 11, 1, 3
2024/1/6, 111, 61, 53, 7, 2, 5
2024/1/7, 129, 53, 41, 8, 1, 3
2024/1/8, 103, 53, 35, 13, 1, 4
2024/1/9, 111, 44, 42, 11, 1, 4
2024/1/10, 100, 63, 44, 7, 1, 4
2024/1/11, 148, 65, 44, 14, 2, 5
2024/1/12, 145, 41, 33, 20, 1, 3
2024/1/13, 95, 29, 44, 12, 1, 2
2024/1/14, 59, 71, 50, 17, 2, 5
2024/1/15, 136, 39, 43, 8, , 4
2024/1/16, 90, 36, 35, 13, 1, 3
2024/1/17, 60, 49, 68, 16, 1, 4
2024/1/18, 90, 47, 36, 11, , 3
2024/1/19, 95, 37, 29, 15, , 3
2024/1/20, 89, 25, 27, 10, , 4
2024/1/21, 61, 26, 22, 9, , 4
2024/1/22, 56, 20, 19, 8, 1, 3
2024/1/23, 49, 27, 30, 6, , 2
2024/1/24, 63, 41, 29, 10, 1, 3
